id_execucao,id_obra,id_servico,data,custo_realizado_mes,avanco_realizado_acum_pct,status_execucao
1,1,1,2026-01-01,129172.82,50.0,Conforme
2,1,1,2026-02-01,124450.37,100.0,Conforme
3,1,2,2026-01-01,101449.28,100.0,Conforme
4,1,3,2026-01-01,256159.42,100.0,Adiantado
5,1,4,2026-01-01,307935.75,50.0,Adiantado
6,1,4,2026-02-01,306846.85,100.0,Adiantado
7,1,5,2026-01-01,143336.99,30.25,Adiantado
8,1,5,2026-02-01,178364.31,69.75,Adiantado
9,1,5,2026-03-01,139385.65,100.0,Adiantado
10,1,6,2026-02-01,91496.98,15.05,Adiantado
11,1,6,2026-03-01,137738.03,37.45,Adiantado
12,1,6,2026-04-01,156972.49,62.55,Adiantado
13,1,6,2026-05-01,136123.19,84.95,Adiantado
14,1,6,2026-06-01,92451.92,100.0,Adiantado
15,1,7,2026-02-01,93219.36,15.05,Adiantado
16,1,7,2026-03-01,137847.92,37.45,Adiantado
17,1,7,2026-04-01,151398.02,62.55,Adiantado
18,1,7,2026-05-01,138213.54,84.95,Adiantado
19,1,7,2026-06-01,94103.77,100.0,Adiantado
20,1,8,2026-03-01,135068.17,15.05,Adiantado
21,1,8,2026-04-01,210919.27,37.45,Adiantado
22,1,8,2026-05-01,234740.53,62.55,Adiantado
23,1,8,2026-06-01,205133.59,84.95,Adiantado
24,1,8,2026-07-01,136312.36,100.0,Adiantado
25,1,9,2026-04-01,98257.57,20.55,Adiantado
26,1,9,2026-05-01,135757.66,50.0,Adiantado
27,1,9,2026-06-01,133751.73,79.45,Adiantado
28,1,9,2026-07-01,93320.0,100.0,Adiantado
29,1,10,2026-04-01,62204.18,15.05,Adiantado
30,1,10,2026-05-01,91235.76,37.45,Adiantado
31,1,10,2026-06-01,103427.67,62.55,Adiantado
32,1,10,2026-07-01,91921.27,84.95,Adiantado
33,1,10,2026-08-01,61066.19,100.0,Adiantado
34,1,11,2026-06-01,50436.62,14.6,Atrasado
35,1,11,2026-07-01,72447.86,36.33,Atrasado
36,1,11,2026-08-01,81995.9,60.67,Atrasado
37,1,11,2026-09-01,74422.12,82.4,Atrasado
38,1,11,2026-10-01,49393.16,97.0,Atrasado
39,1,12,2026-06-01,59051.26,14.6,Atrasado
40,1,12,2026-07-01,86402.94,36.33,Atrasado
41,1,12,2026-08-01,97510.58,60.67,Atrasado
42,1,12,2026-09-01,83660.14,82.4,Atrasado
43,1,12,2026-10-01,56853.33,97.0,Atrasado
44,1,13,2026-07-01,41499.96,14.6,Atrasado
45,1,13,2026-08-01,60966.81,36.33,Atrasado
46,1,13,2026-09-01,68928.71,60.67,Atrasado
47,1,13,2026-10-01,61046.4,82.4,Atrasado
48,1,13,2026-11-01,41471.17,97.0,Atrasado
49,1,14,2026-06-01,109698.71,30.25,Adiantado
50,1,14,2026-07-01,140959.17,69.75,Adiantado
51,1,14,2026-08-01,107965.3,100.0,Adiantado
52,1,15,2026-08-01,75595.46,30.25,Conforme
53,1,15,2026-09-01,99075.62,69.75,Conforme
54,1,15,2026-10-01,78952.11,100.0,Conforme
55,1,16,2026-06-01,95501.42,20.55,Adiantado
56,1,16,2026-07-01,136594.92,50.0,Adiantado
57,1,16,2026-08-01,133028.62,79.45,Adiantado
58,1,16,2026-09-01,95961.99,100.0,Adiantado
59,1,17,2026-09-01,109831.11,19.11,Atrasado
60,1,17,2026-10-01,159538.06,46.5,Atrasado
61,1,17,2026-11-01,165420.35,73.89,Atrasado
62,1,17,2026-12-01,113036.56,93.0,Atrasado
63,1,18,2026-09-01,111442.61,19.11,Atrasado
64,1,18,2026-10-01,160984.74,46.5,Atrasado
65,1,18,2026-11-01,162496.43,73.89,Atrasado
66,1,18,2026-12-01,112902.31,93.0,Atrasado
67,1,19,2026-09-01,90178.76,19.11,Atrasado
68,1,19,2026-10-01,127728.14,46.5,Atrasado
69,1,19,2026-11-01,129962.39,73.89,Atrasado
70,1,19,2026-12-01,90391.58,93.0,Atrasado
71,1,20,2026-09-01,59588.17,30.25,Conforme
72,1,20,2026-10-01,81301.28,69.75,Conforme
73,1,20,2026-11-01,62009.1,100.0,Conforme
74,1,21,2026-10-01,82060.66,28.13,Atrasado
75,1,21,2026-11-01,109388.66,64.87,Atrasado
76,1,21,2026-12-01,82463.73,93.0,Atrasado
77,1,22,2026-11-01,138808.1,46.5,Atrasado
78,1,22,2026-12-01,135104.95,93.0,Atrasado
79,1,23,2026-10-01,61065.97,30.25,Conforme
80,1,23,2026-11-01,79664.75,69.75,Conforme
81,1,23,2026-12-01,62167.83,100.0,Conforme
82,1,24,2026-11-01,108502.46,46.5,Atrasado
83,1,24,2026-12-01,110627.97,93.0,Atrasado
84,1,25,2026-11-01,111189.03,46.5,Atrasado
85,1,25,2026-12-01,107941.4,93.0,Atrasado
86,1,26,2026-10-01,74908.87,30.25,Conforme
87,1,26,2026-11-01,102478.77,69.75,Conforme
88,1,26,2026-12-01,76235.55,100.0,Conforme
89,1,27,2026-10-01,76770.51,30.25,Conforme
90,1,27,2026-11-01,99993.69,69.75,Conforme
91,1,27,2026-12-01,76859.0,100.0,Conforme
92,1,28,2026-11-01,190803.9,46.5,Atrasado
93,1,28,2026-12-01,192674.36,93.0,Atrasado
94,1,29,2026-11-01,76918.4,50.0,Conforme
95,1,29,2026-12-01,75255.51,100.0,Conforme
96,1,30,2026-12-01,101449.27,100.0,Conforme
