id_planejamento,id_obra,id_servico,data,valor_previsto_mes,avanco_previsto_acum_pct
1,1,1,2026-01-01,126811.59,50.0
2,1,1,2026-02-01,126811.6,100.0
3,1,2,2026-01-01,101449.28,100.0
4,1,3,2026-01-01,126811.59,50.0
5,1,3,2026-02-01,126811.6,100.0
6,1,4,2026-02-01,304347.82,50.0
7,1,4,2026-03-01,304347.83,100.0
8,1,5,2026-02-01,138088.04,30.25
9,1,5,2026-03-01,180345.66,69.75
10,1,5,2026-04-01,138088.04,100.0
11,1,6,2026-03-01,91633.3,15.05
12,1,6,2026-04-01,136353.45,37.45
13,1,6,2026-05-01,152722.16,62.55
14,1,6,2026-06-01,136353.45,84.95
15,1,6,2026-07-01,91633.3,100.0
16,1,7,2026-03-01,91633.3,15.05
17,1,7,2026-04-01,136353.45,37.45
18,1,7,2026-05-01,152722.16,62.55
19,1,7,2026-06-01,136353.45,84.95
20,1,7,2026-07-01,91633.3,100.0
21,1,8,2026-04-01,137449.95,15.05
22,1,8,2026-05-01,204530.17,37.45
23,1,8,2026-06-01,229083.24,62.55
24,1,8,2026-07-01,204530.17,84.95
25,1,8,2026-08-01,137449.95,100.0
26,1,9,2026-05-01,93795.21,20.55
27,1,9,2026-06-01,134465.66,50.0
28,1,9,2026-07-01,134465.66,79.45
29,1,9,2026-08-01,93795.21,100.0
30,1,10,2026-05-01,61088.86,15.05
31,1,10,2026-06-01,90902.3,37.45
32,1,10,2026-07-01,101814.77,62.55
33,1,10,2026-08-01,90902.3,84.95
34,1,10,2026-09-01,61088.86,100.0
35,1,11,2026-05-01,45816.65,15.05
36,1,11,2026-06-01,68176.73,37.45
37,1,11,2026-07-01,76361.08,62.55
38,1,11,2026-08-01,68176.73,84.95
39,1,11,2026-09-01,45816.65,100.0
40,1,12,2026-05-01,53452.76,15.05
41,1,12,2026-06-01,79539.51,37.45
42,1,12,2026-07-01,89087.93,62.55
43,1,12,2026-08-01,79539.51,84.95
44,1,12,2026-09-01,53452.76,100.0
45,1,13,2026-06-01,38180.54,15.05
46,1,13,2026-07-01,56813.94,37.45
47,1,13,2026-08-01,63634.23,62.55
48,1,13,2026-09-01,56813.94,84.95
49,1,13,2026-10-01,38180.54,100.0
50,1,14,2026-07-01,107401.81,30.25
51,1,14,2026-08-01,140268.84,69.75
52,1,14,2026-09-01,107401.81,100.0
53,1,15,2026-08-01,76715.58,30.25
54,1,15,2026-09-01,100192.03,69.75
55,1,15,2026-10-01,76715.58,100.0
56,1,16,2026-07-01,93795.21,20.55
57,1,16,2026-08-01,134465.66,50.0
58,1,16,2026-09-01,134465.66,79.45
59,1,16,2026-10-01,93795.21,100.0
60,1,17,2026-08-01,104216.9,20.55
61,1,17,2026-09-01,149406.29,50.0
62,1,17,2026-10-01,149406.29,79.45
63,1,17,2026-11-01,104216.9,100.0
64,1,18,2026-08-01,104216.9,20.55
65,1,18,2026-09-01,149406.29,50.0
66,1,18,2026-10-01,149406.29,79.45
67,1,18,2026-11-01,104216.9,100.0
68,1,19,2026-08-01,83373.52,20.55
69,1,19,2026-09-01,119525.03,50.0
70,1,19,2026-10-01,119525.03,79.45
71,1,19,2026-11-01,83373.52,100.0
72,1,20,2026-09-01,61372.46,30.25
73,1,20,2026-10-01,80153.63,69.75
74,1,20,2026-11-01,61372.46,100.0
75,1,21,2026-09-01,76715.58,30.25
76,1,21,2026-10-01,100192.03,69.75
77,1,21,2026-11-01,76715.58,100.0
78,1,22,2026-10-01,76715.58,30.25
79,1,22,2026-11-01,100192.03,69.75
80,1,22,2026-12-01,76715.58,100.0
81,1,23,2026-10-01,61372.46,30.25
82,1,23,2026-11-01,80153.63,69.75
83,1,23,2026-12-01,61372.46,100.0
84,1,24,2026-10-01,61372.46,30.25
85,1,24,2026-11-01,80153.63,69.75
86,1,24,2026-12-01,61372.46,100.0
87,1,25,2026-10-01,61372.46,30.25
88,1,25,2026-11-01,80153.63,69.75
89,1,25,2026-12-01,61372.46,100.0
90,1,26,2026-10-01,76715.58,30.25
91,1,26,2026-11-01,100192.03,69.75
92,1,26,2026-12-01,76715.58,100.0
93,1,27,2026-10-01,76715.58,30.25
94,1,27,2026-11-01,100192.03,69.75
95,1,27,2026-12-01,76715.58,100.0
96,1,28,2026-10-01,107401.81,30.25
97,1,28,2026-11-01,140268.84,69.75
98,1,28,2026-12-01,107401.81,100.0
99,1,29,2026-11-01,76086.95,50.0
100,1,29,2026-12-01,76086.96,100.0
101,1,30,2026-12-01,101449.27,100.0
